ts,u_predict,t_,V
1.64,-42.9272736714343,1.6400000000000001,-42.98488796
1.66,-42.827544330094454,1.66,-42.922277
1.68,-42.729502698326925,1.68,-42.671818290000004
1.7,-42.63311745880217,1.7,-42.671818290000004
1.72,-42.53835296136364,1.72,-42.51528159
1.74,-42.445169627774455,1.74,-42.57789627
1.76,-42.35352436490056,1.76,-42.39005223
1.78,-42.26337098360778,1.78,-42.20220819
1.8,-42.17466062070872,1.7999999999999998,-42.170900849999995
1.82,-42.087342161318304,1.82,-42.07697883
1.84,-42.00136265896241,1.8399999999999999,-42.04567149
1.86,-41.91666775074341,1.8599999999999999,-41.638676079999996
1.88,-41.833202064802315,1.88,-41.79521278
1.9,-41.75090961723873,1.9000000000000001,-41.7325981
1.92,-41.66973419556976,1.92,-41.7325981
1.94,-41.58961972573637,1.94,-41.70129076
1.96,-41.51051061961278,1.9599999999999997,-41.66998342
1.98,-41.432352099955494,1.98,-41.35691002
2.0,-41.35509049975449,2.0,-41.35691002
2.02,-41.27867353303632,2.02,-41.106451299999996
2.04,-41.203050534316965,2.04,-41.23168066
2.06,-41.12817266413726,2.06,-41.16906598
2.08,-41.05399307842344,2.08,-41.043840349999996
2.1,-40.980467059813606,2.1,-40.88730365
2.12,-40.90755210957375,2.12,-40.699459610000005
2.14,-40.8352079992842,2.14,-40.66815227
2.16,-40.76339678210672,2.1599999999999997,-40.63684493
2.18,-40.692082764121984,2.18,-40.699459610000005
2.2,-40.62123243694405,2.2,-40.54292291
2.22,-40.55081437355048,2.2199999999999998,-40.417693560000004
2.24,-40.48079908998823,2.24,-40.323771539999996
2.26,-40.411158876305095,2.2600000000000002,-40.22984952
2.28,-40.3418676006885,2.28,-40.292464200000005
2.3,-40.27290049134414,2.3,-40.1359275
2.32,-40.20423390109642,2.3200000000000003,-40.1359275
2.34,-40.13584506002287,2.34,-40.04200547999999
2.36,-40.06771182163762,2.36,-40.1359275
2.38,-39.99981240819796,2.3800000000000003,-39.94808346
2.4,-39.932125160631294,2.4,-40.04200547999999
2.42,-39.86462829836653,2.42,-39.885468780000004
2.44,-39.797299694010555,2.44,-39.760239420000005
2.46,-39.730116667355894,2.46,-39.791546759999996
2.48,-39.663055802653766,2.48,-39.791546759999996
2.5,-39.59609279246043,2.5,-39.6663174
2.52,-39.5292023106823,2.52,-39.60370272
2.54,-39.46235791673432,2.54,-39.57239538
2.56,-39.395531992008294,2.56,-39.50978069999999
2.58,-39.32869570913833,2.5799999999999996,-39.41585869
2.6,-39.26181903388097,2.6,-39.41585869
2.62,-39.1948707587983,2.62,-39.41585869
2.64,-39.12781856737335,2.6399999999999997,-39.384551349999995
2.66,-39.06062912669312,2.66,-39.353244010000004
2.68,-38.99326820642272,2.68,-39.165403690000005
2.7,-38.925700821462776,2.6999999999999997,-39.165403690000005
2.72,-38.85789139543039,2.72,-39.008867
2.74,-38.78980394193404,2.74,-38.8523303
2.76,-38.72140226051262,2.76,-38.75840828
2.78,-38.652650144080276,2.78,-38.789715619999996
2.8,-38.58351159474625,2.8000000000000003,-38.63317892
2.82,-38.51395104495954,2.82,-38.66448626
2.84,-38.443933581051425,2.84,-38.60187158
2.86,-38.37342516640324,2.8600000000000003,-38.445334880000004
2.88,-38.30239286165122,2.88,-38.35141286
2.9,-38.23080503953525,2.9,-38.47664222
2.92,-38.15863159221264,2.92,-38.32010552
2.94,-38.08584412906809,2.94,-38.19487616
2.96,-38.01241616326837,2.96,-38.10095415
2.98,-37.93832328551709,2.98,-38.06964681
3.0,-37.863543323669404,3.0,-38.00703213
3.02,-37.78805648705692,3.02,-37.913110110000005
3.04,-37.71184549455541,3.04,-37.88180277
3.06,-37.634895685598,3.0599999999999996,-37.85049543
3.08,-37.55719511349392,3.08,-37.69395873
3.1,-37.47873462056117,3.1,-37.725266069999996
3.12,-37.399507894716606,3.1199999999999997,-37.443503740000004
3.14,-37.31951150729644,3.14,-37.443503740000004
3.16,-37.23874493199909,3.16,-37.443503740000004
3.18,-37.15721054495705,3.1799999999999997,-37.255659699999995
3.2,-37.07491360605179,3.2,-37.13043034
3.22,-36.99186222169377,3.22,-36.84866428
3.24,-36.90806728939064,3.2399999999999998,-36.87997162
3.26,-36.82354242453162,3.26,-36.911278960000004
3.28,-36.73830386991724,3.2800000000000002,-36.72343493
3.3,-36.65237038866936,3.3,-36.535590889999995
3.32,-36.56576314126017,3.32,-36.410361529999996
3.34,-36.478505547508284,3.3400000000000003,-36.44166887
3.36,-36.3906231344993,3.36,-36.253824830000006
3.38,-36.30214337150125,3.38,-36.06598079
3.4,-36.213095493060486,3.4,-35.90944409
3.42,-36.12351031158113,3.42,-35.878136749999996
3.44,-36.03342002080973,3.44,-35.878136749999996
3.46,-35.94285799176905,3.46,-35.78421474
3.48,-35.851858562806086,3.48,-35.596374420000004
3.5,-35.7604568255418,3.5,-35.596374420000004
3.52,-35.66868840863436,3.52,-35.31460837
3.54,-35.57658926138907,3.54,-35.408530379999995
3.56,-35.48419543937147,3.56,-35.25199369
3.58,-35.391542894299555,3.58,-35.001534969999994
3.6,-35.298667270611574,3.5999999999999996,-34.93892029
3.62,-35.205603711221904,3.62,-34.78238359
3.64,-35.11238667509072,3.64,-34.75107625
3.66,-35.01904976934353,3.66,-34.65715423
3.68,-34.92562559877786,3.6799999999999997,-34.469310189999995
3.7,-34.8321456356916,3.7,-34.25015882
3.72,-34.73864011304761,3.7199999999999998,-34.031007439999996
3.74,-34.64513794405841,3.7399999999999998,-34.09362212
3.76,-34.55166667131735,3.76,-34.09362212
3.78,-34.4582524486145,3.7800000000000002,-33.87447074
3.8,-34.36492005854706,3.8000000000000003,-34.031007439999996
3.82,-34.27169296894259,3.82,-33.999700100000005
3.84,-34.17859343094948,3.84,-33.87447074
3.86,-34.08564262137776,3.8600000000000003,-33.90577808
3.88,-33.9928608314721,3.88,-33.71793777
3.9,-33.900267703722555,3.9000000000000004,-33.530093730000004
3.92,-33.80788251752422,3.9199999999999995,-33.71793777
3.94,-33.71572452342895,3.94,-33.59270841
3.96,-33.6238133243226,3.96,-33.56140107
3.98,-33.532169300042064,3.9799999999999995,-33.37355703
4.0,-33.44081406963065,4.0,-33.37355703
4.02,-33.34977098253814,4.0200000000000005,-33.342249689999996
4.04,-33.25906562651703,4.04,-33.24832767
