ts,u_predict,t_,V
1.84,-42.294583209603516,1.8399999999999999,-42.04567149
1.86,-42.20465435433475,1.8599999999999999,-41.638676079999996
1.88,-42.11510641864869,1.88,-41.79521278
1.9,-42.02592867851966,1.9000000000000001,-41.7325981
1.92,-41.93711097260045,1.92,-41.7325981
1.94,-41.84864367237593,1.94,-41.70129076
1.96,-41.76051765347127,1.9599999999999997,-41.66998342
1.98,-41.67272426809372,1.98,-41.35691002
2.0,-41.58525531858591,2.0,-41.35691002
2.02,-41.498103032063725,2.02,-41.106451299999996
2.04,-41.4112600361092,2.04,-41.23168066
2.06,-41.324719335488126,2.06,-41.16906598
2.08,-41.23847428985896,2.08,-41.043840349999996
2.1,-41.15251859243814,2.1,-40.88730365
2.12,-41.066846249587755,2.12,-40.699459610000005
2.14,-40.98145156128801,2.14,-40.66815227
2.16,-40.89632910246131,2.1599999999999997,-40.63684493
2.18,-40.81147370510645,2.18,-40.699459610000005
2.2,-40.72688044121473,2.2,-40.54292291
2.22,-40.64254460642134,2.2199999999999998,-40.417693560000004
2.24,-40.55846170436688,2.24,-40.323771539999996
2.26,-40.4746274317268,2.2600000000000002,-40.22984952
2.28,-40.39103766387613,2.28,-40.292464200000005
2.3,-40.30768844115674,2.3,-40.1359275
2.32,-40.22457595571221,2.3200000000000003,-40.1359275
2.34,-40.14169653885857,2.34,-40.04200547999999
2.36,-40.05904664895779,2.36,-40.1359275
2.38,-39.97662285976598,2.3800000000000003,-39.94808346
2.4,-39.89442184922301,2.4,-40.04200547999999
2.42,-39.812440388654565,2.42,-39.885468780000004
2.44,-39.730675332360605,2.44,-39.760239420000005
2.46,-39.64912360755979,2.46,-39.791546759999996
2.48,-39.567782204663004,2.48,-39.791546759999996
2.5,-39.486648167852096,2.5,-39.6663174
2.52,-39.405718585935816,2.52,-39.60370272
2.54,-39.32499058345907,2.54,-39.57239538
2.56,-39.244461312042475,2.56,-39.50978069999999
2.58,-39.16412794192733,2.5799999999999996,-39.41585869
2.6,-39.08398765370383,2.6,-39.41585869
2.62,-39.00403763020158,2.62,-39.41585869
2.64,-38.92427504851925,2.6399999999999997,-39.384551349999995
2.66,-38.84469707217379,2.66,-39.353244010000004
2.68,-38.765300843348044,2.68,-39.165403690000005
2.7,-38.6860834752183,2.6999999999999997,-39.165403690000005
2.72,-38.60704204434042,2.72,-39.008867
2.74,-38.52817358307779,2.74,-38.8523303
2.76,-38.449475072052124,2.76,-38.75840828
2.78,-38.37094343259891,2.78,-38.789715619999996
2.8,-38.292575519209535,2.8000000000000003,-38.63317892
2.82,-38.21436811194609,2.82,-38.66448626
2.84,-38.13631790880727,2.84,-38.60187158
2.86,-38.058421518034336,2.8600000000000003,-38.445334880000004
2.88,-37.980675450337415,2.88,-38.35141286
2.9,-37.90307611102945,2.9,-38.47664222
2.92,-37.825619792050915,2.92,-38.32010552
2.94,-37.74830266387194,2.94,-38.19487616
2.96,-37.67112076725739,2.96,-38.10095415
2.98,-37.59407000488078,2.98,-38.06964681
3.0,-37.51714613277393,3.0,-38.00703213
3.02,-37.44034475160079,3.02,-37.913110110000005
3.04,-37.36366129774102,3.04,-37.88180277
3.06,-37.28709103417383,3.0599999999999996,-37.85049543
3.08,-37.21062904115006,3.08,-37.69395873
3.1,-37.134270206642114,3.1,-37.725266069999996
3.12,-37.05800921656298,3.1199999999999997,-37.443503740000004
3.14,-36.98184054474497,3.14,-37.443503740000004
3.16,-36.90575844267134,3.16,-37.443503740000004
3.18,-36.829756928952534,3.1799999999999997,-37.255659699999995
3.2,-36.7538297785441,3.2,-37.13043034
3.22,-36.67797051169974,3.22,-36.84866428
3.24,-36.60217238265834,3.2399999999999998,-36.87997162
3.26,-36.526428368063236,3.26,-36.911278960000004
3.28,-36.45073115511484,3.2800000000000002,-36.72343493
3.3,-36.375073129459835,3.3,-36.535590889999995
3.32,-36.29944636282083,3.32,-36.410361529999996
3.34,-36.22384260037539,3.3400000000000003,-36.44166887
3.36,-36.14825324789469,3.36,-36.253824830000006
3.38,-36.07266935865475,3.38,-36.06598079
3.4,-35.997081620137934,3.4,-35.90944409
3.42,-35.92148034054499,3.42,-35.878136749999996
3.44,-35.84585543514389,3.44,-35.878136749999996
3.46,-35.770196412483685,3.46,-35.78421474
3.48,-35.694492360509926,3.48,-35.596374420000004
3.5,-35.61873193262154,3.5,-35.596374420000004
3.52,-35.54290333371621,3.52,-35.31460837
3.54,-35.46699430627855,3.54,-35.408530379999995
3.56,-35.390992116572406,3.56,-35.25199369
3.58,-35.31488354100712,3.58,-35.001534969999994
3.6,-35.23865485275594,3.5999999999999996,-34.93892029
3.62,-35.16229180871743,3.62,-34.78238359
3.64,-35.08577963691694,3.64,-34.75107625
3.66,-35.00910302446137,3.66,-34.65715423
3.68,-34.93224610617129,3.6799999999999997,-34.469310189999995
3.7,-34.85519245402749,3.7,-34.25015882
3.72,-34.777925067586395,3.7199999999999998,-34.031007439999996
3.74,-34.70042636553312,3.7399999999999998,-34.09362212
3.76,-34.62267817855907,3.76,-34.09362212
3.78,-34.544661743769936,3.7800000000000002,-33.87447074
3.8,-34.46635770085031,3.8000000000000003,-34.031007439999996
3.82,-34.38774609023186,3.82,-33.999700100000005
3.84,-34.30880635353576,3.84,-33.87447074
3.86,-34.22951733658512,3.8600000000000003,-33.90577808
3.88,-34.149857295307825,3.88,-33.71793777
3.9,-34.069803904877816,3.9000000000000004,-33.530093730000004
3.92,-33.9893342724739,3.9199999999999995,-33.71793777
3.94,-33.908424954060806,3.94,-33.59270841
3.96,-33.82705197563432,3.96,-33.56140107
3.98,-33.745190859400665,3.9799999999999995,-33.37355703
4.0,-33.66281665539425,4.0,-33.37355703
4.02,-33.57990397907507,4.0200000000000005,-33.342249689999996
4.04,-33.49642705547775,4.04,-33.24832767
4.06,-33.41235977052297,4.06,-33.31094235
4.08,-33.32767573013113,4.08,-33.18571299
4.1,-33.24234832781816,4.1,-33.09179097
4.12,-33.156350821478625,4.12,-32.747410239999994
4.14,-33.06965642009591,4.140000000000001,-32.87263960000001
4.16,-32.98223838114349,4.16,-32.84133226
4.18,-32.89407011946399,4.18,-32.77871758
4.2,-32.80512532842964,4.2,-32.65348822
4.22,-32.71537811420096,4.22,-32.77871758
4.24,-32.624803143899655,4.24,-32.7161029
4.26,-32.533375808507586,4.26,-32.5595662
4.28,-32.44107240128666,4.28,-32.622180879999995
4.3,-32.34787031247954,4.3,-32.4030295
4.32,-32.25374824100943,4.319999999999999,-32.30910748
4.34,-32.15868642382985,4.34,-32.2464928
4.36,-32.062666883492525,4.36,-31.933423129999998
4.38,-31.965673694395022,4.38,-31.902115789999996
4.4,-31.867693268037428,4.4,-31.902115789999996
4.42,-31.76871465745667,4.42,-31.745579090000003
4.44,-31.668729880819726,4.4399999999999995,-31.65165707
4.46,-31.567734263925715,4.46,-31.65165707
4.48,-31.465726801115082,4.48,-31.30727634
4.5,-31.362710533777104,4.5,-31.21335432
4.52,-31.258692945310614,4.5200000000000005,-31.088124960000002
4.54,-31.153686371008448,4.539999999999999,-31.24466166
4.56,-31.04770842090882,4.56,-31.15073964
4.58,-30.94078241318111,4.58,-31.18204698
4.6,-30.83293781509734,4.6,-31.088124960000002
4.62,-30.724210688072404,4.62,-30.837666239999997
4.64,-30.61464413264501,4.640000000000001,-30.58720939
4.66,-30.50428872861842,4.66,-30.49328737
4.68,-30.39320296487908,4.68,-30.39936535
4.7,-30.281453652673648,4.7,-30.368058010000002
4.72,-30.169116315347267,4.72,-30.18021397
4.74,-30.056275546728088,4.74,-30.054984609999998
4.76,-29.94302532948673,4.760000000000001,-29.92975526
4.78,-29.829469303901035,4.779999999999999,-29.99236993
4.8,-29.71572097650899,4.8,-29.77321856
4.82,-29.601903857118614,4.82,-29.77321856
4.84,-29.488151511552488,4.84,-29.64799106
4.86,-29.374607516292272,4.86,-29.616683719999997
4.88,-29.2614252998179,4.88,-29.616683719999997
4.9,-29.148767853834656,4.9,-29.39753234
4.92,-29.036807295662655,4.92,-29.20968831
4.94,-28.92572426069343,4.9399999999999995,-29.17838097
4.96,-28.81570710083743,4.96,-28.86530757
4.98,-28.70695086105708,4.98,-28.70877273
5.0,-28.599656001105657,5.0,-28.677465390000002
5.02,-28.4940268230702,5.02,-28.58354338
5.04,-28.39026955671399,5.04,-28.58354338
5.06,-28.288590043235658,5.06,-28.364392
5.08,-28.18919094298188,5.08,-28.364392
5.1,-28.092268372659746,5.1000000000000005,-28.27046998
5.12,-27.998007851102628,5.12,-27.92608924
5.14,-27.906579397575413,5.140000000000001,-27.86347456
5.16,-27.818131580274965,5.159999999999999,-27.73824707
5.18,-27.732784251657122,5.18,-27.644325050000003
5.2,-27.65061962718009,5.2,-27.76955441
5.22,-27.57167125973804,5.22,-27.48778835
5.24,-27.495910327314036,5.24,-27.42517367
5.26,-27.42322847957611,5.26,-27.644325050000003
5.28,-27.353416274144806,5.279999999999999,-27.393866329999998
5.3,-27.28613597157677,5.3,-27.36255899
5.32,-27.22088715294042,5.32,-27.29994431
5.34,-27.156963292481024,5.34,-27.26863697
5.36,-27.093397104211576,5.36,-27.08079293
5.38,-27.028892276501708,5.380000000000001,-26.7677214
5.4,-26.96173928287071,5.3999999999999995,-26.673799380000002
5.42,-26.889713603878974,5.42,-26.57987736
5.44,-26.80995638654464,5.44,-26.70510672
5.46,-26.718841003281042,5.46,-26.48595534
5.48,-26.61183506969114,5.48,-26.57987736
5.5,-26.48337719989219,5.5,-26.23549663
5.52,-26.32680157634867,5.52,-26.047652590000002
5.54,-26.134360065448774,5.54,-25.76588839
5.56,-25.897406350999788,5.56,-25.73458105
5.58,-25.606809515257325,5.58,-25.546737020000002
5.6,-25.253643359210642,5.6000000000000005,-25.20235628
5.62,-24.830153525547004,5.62,-24.63882603
5.64,-24.33099095628343,5.64,-24.63882603
5.66,-23.754873638867664,5.66,-24.0126811
5.68,-23.107401437362526,5.68,-23.57437834
5.7,-22.406447032558404,5.7,-23.10477011
5.72,-21.69034743803398,5.720000000000001,-22.22816646
5.74,-21.02165806851012,5.74,-21.53940499
5.76,-20.466369788315646,5.76,-20.7880307
5.78,-20.030139092416377,5.78,-19.817505030000003
5.8,-19.54635321922207,5.8,-18.34606379
5.82,-18.41921306077724,5.82,-16.561549160000002
5.84,-15.014736355465956,5.84,-13.58735748
5.86,-6.625692265180106,5.86,-8.265120909
5.88,7.15763183988048,5.88,1.471441938
5.9,22.70557081211558,5.8999999999999995,20.349729810000003
5.92,38.019257082859625,5.92,44.86332461
5.94,51.2830225174988,5.94,54.505966599999994
5.96,56.691643706912934,5.96,54.25550789
5.98,50.83482933653687,5.98,49.528110770000005
6.0,39.72374610440555,6.0,41.106451299999996
6.02,30.293229629980885,6.02,30.99420294
6.04,22.87096022362512,6.04,22.07162976
6.06,15.649110549223465,6.0600000000000005,15.184029010000001
6.08,9.411048792533208,6.08,9.736563079
6.1,4.374977394432804,6.1000000000000005,4.038638435
6.12,-1.4443511963824562,6.119999999999999,-1.753207413
6.14,-9.585597346242423,6.14,-8.985187858
6.16,-19.783717398113097,6.16,-18.471293149999997
6.18,-30.38031746551472,6.18,-29.77321856
6.2,-39.810028752669226,6.2,-40.35507888
6.22,-47.31960008114832,6.220000000000001,-48.55758324
6.24,-52.837285911621095,6.239999999999999,-54.19289321
6.26,-56.68577510568271,6.26,-57.5427711
6.28,-59.296244056554755,6.28,-59.64035913
6.3,-61.042415503657125,6.3,-60.9552674
6.32,-62.19877875655099,6.32,-61.86317652
6.34,-62.954018207823836,6.340000000000001,-62.3954013
6.36,-63.435076689308076,6.359999999999999,-62.92762607000001
6.38,-63.72721852628909,6.38,-63.146777449999995
6.4,-63.888094946835324,6.4,-63.02154809
6.42,-63.95706824381985,6.42,-63.49115818999999
6.44,-63.96130219189554,6.44,-63.33462149
6.46,-63.91974573004775,6.46,-63.522465530000005
6.48,-63.84575837513687,6.4799999999999995,-63.36592883
6.5,-63.74885701845129,6.5,-63.36592883
6.52,-63.6358895986658,6.52,-63.27200681
6.54,-63.51183125170452,6.54,-63.20939213
6.56,-63.38032935418137,6.5600000000000005,-63.115470110000004
6.58,-63.24408001023939,6.58,-62.99024075
6.6,-63.10509042728843,6.6,-62.89631873
6.62,-62.96486342221739,6.62,-62.77108938000001
6.64,-62.82452838477754,6.64,-62.80239671
6.66,-62.68493515144364,6.66,-62.739782039999994
6.68,-62.54672199540998,6.680000000000001,-62.64586002
6.7,-62.41036541379232,6.7,-62.52063066000001
6.72,-62.27621700948815,6.72,-62.36409396
6.74,-62.14453114315462,6.739999999999999,-62.2388646
6.76,-62.01548592083911,6.76,-62.14494258
6.78,-61.889199319375976,6.78,-62.082327899999996
6.8,-61.76574172402276,6.8,-61.80056185
6.82,-61.645145786429524,6.82,-61.9257912
6.84,-61.52741425541838,6.84,-61.86317652
6.86,-61.41252625384756,6.859999999999999,-61.73794717
6.88,-61.300442348498294,6.88,-61.55010313
6.9,-61.19110867033369,6.9,-61.39356643
6.92,-61.08446027848491,6.92,-61.45618111
6.94,-60.98042391523508,6.94,-61.29964441
6.96,-60.87892026576709,6.96,-61.01788208
6.98,-60.77986581180777,6.9799999999999995,-61.14311144
7.0,-60.68317434996884,7.0,-60.98657474
7.02,-60.58875823174459,7.0200000000000005,-60.9552674
7.04,-60.496529371531,7.04,-60.9552674
7.06,-60.40640006079248,7.0600000000000005,-60.736116020000004
7.08,-60.31828361999199,7.08,-60.70480868
7.1,-60.23209491469531,7.1,-60.45434996
7.12,-60.147750758024145,7.12,-60.4856573
7.14,-60.06517021815749,7.14,-60.45434996
7.16,-59.98427484669391,7.16,-60.235198589999996
7.18,-59.9049888412698,7.180000000000001,-60.235198589999996
7.2,-59.82723915378698,7.199999999999999,-60.14127657
7.22,-59.750955553879564,7.22,-60.203891250000005
7.24,-59.67607065577458,7.24,-59.89081785
7.26,-59.60251991544912,7.26,-59.85951051
7.28,-59.53024160391398,7.28,-59.828203169999995
7.3,-59.459176761535176,7.300000000000001,-59.73428115
7.32,-59.38926913752145,7.32,-59.702973809999996
7.34,-59.32046511803803,7.34,-59.54643711
7.36,-59.252713645828024,7.359999999999999,-59.32728946
7.38,-59.18596613374329,7.38,-59.54643711
7.4,-59.120176374161744,7.4,-59.60905179
7.42,-59.05530044592321,7.42,-59.13944542
7.44,-58.99129662011167,7.4399999999999995,-59.076830740000005
7.46,-58.928125265759675,7.46,-59.04552341
7.48,-58.865748756337965,7.4799999999999995,-58.98290873
7.5,-58.80413137771406,7.5,-58.85767937
7.52,-58.743239238111485,7.52,-58.88898671
7.54,-58.683040180478585,7.540000000000001,-58.669835330000005
7.56,-58.62350369756909,7.5600000000000005,-58.63852799
7.58,-58.56460084995045,7.579999999999999,-58.57591331
7.6,-58.506304187088446,7.6000000000000005,-58.63852799
7.62,-58.44858767159148,7.62,-58.48199129
7.64,-58.39142660665921,7.64,-58.41937661
7.66,-58.33479756673448,7.660000000000001,-58.45068395
7.68,-58.2786783313321,7.68,-58.35676193
7.7,-58.223047821992466,7.699999999999999,-58.32545459
7.72,-58.167886042288686,7.720000000000001,-58.294147249999995
7.74,-58.11317402080344,7.74,-58.168917889999996
7.76,-58.05889375698111,7.76,-58.168917889999996
7.78,-58.00502816975144,7.780000000000001,-58.23153257
7.8,-57.95156104881919,7.800000000000001,-58.168917889999996
7.82,-57.898477008509204,7.819999999999999,-58.04368854
7.84,-57.84576144405629,7.839999999999999,-57.949766520000004
7.86,-57.793400490228876,7.86,-58.07499588
7.88,-57.74138098217695,7.88,-57.8558445
7.9,-57.68969041839601,7.8999999999999995,-57.79322982
7.92,-57.638316925703194,7.92,-57.82453716
7.94,-57.58724922612281,7.9399999999999995,-57.63669312
7.96,-57.53647660558262,7.959999999999999,-57.48016015
7.98,-57.485988884326545,7.98,-57.51146749
8.0,-57.43577638895253,8.0,-57.57407844
8.02,-57.385829925988006,8.02,-57.48016015
8.04,-57.336140756920415,8.040000000000001,-57.51146749
8.06,-57.286700574603046,8.06,-57.354930790000004
8.08,-57.23750148095995,8.08,-57.22970143
8.1,-57.18853596591971,8.100000000000001,-57.44885281
8.12,-57.13979688750781,8.12,-57.167086749999996
8.14,-57.09127745303563,8.139999999999999,-57.10447207
8.16,-57.04297120132189,8.16,-57.07316473
8.18,-56.994871985890924,8.18,-57.13577941
8.2,-56.94697395909215,8.2,-56.97924271
8.22,-56.899271557088,8.22,-56.94793537
8.24,-56.85175948566358,8.24,-56.85401335
8.26,-56.804432706809266,8.26,-56.88532069
8.28,-56.75728642603464,8.280000000000001,-56.76009133
8.3,-56.7103160803715,8.3,-56.66616932
8.32,-56.663517327026725,8.32,-56.60355464
8.34,-56.616886032649504,8.34,-56.50963262
8.36,-56.57041826317776,8.36,-56.47832528
8.38,-56.52411027423035,8.379999999999999,-56.35309592
8.4,-56.47795850201594,8.4,-56.415710600000004
8.42,-56.43195955472741,8.42,-56.35309592
8.44,-56.386110204396246,8.44,-56.22786656
8.46,-56.340407379180945,8.459999999999999,-56.16525188
8.48,-56.29484815606288,8.48,-56.1026372
8.5,-56.24942975393053,8.5,-56.1026372
8.52,-56.20414952702559,8.52,-56.04002252
8.54,-56.159004958737015,8.540000000000001,-55.97740784
8.56,-56.11399365571536,8.56,-55.82087114
8.58,-56.06911334229791,8.58,-55.72694913
8.6,-56.024361855220704,8.6,-55.82087114
8.62,-55.97973713860587,8.62,-55.758256470000006
8.64,-55.93523723920559,8.639999999999999,-55.66433817
8.66,-55.890860301891806,8.66,-55.60172349
8.68,-55.84660456537431,8.68,-55.50780147
8.7,-55.80246835813803,8.7,-55.44518679
8.72,-55.75845009458483,8.72,-55.60172349
8.74,-55.71454827136968,8.74,-55.57041615
8.76,-55.67076146392061,8.76,-55.38257211
8.78,-55.62708832313113,8.780000000000001,-55.44518679
8.8,-55.58352757221708,8.8,-55.319957439999996
8.82,-55.540078003727544,8.82,-55.1321134
8.84,-55.4967384767027,8.84,-55.319957439999996
8.86,-55.45350791396889,8.86,-55.100806060000004
8.88,-55.41038529956454,8.879999999999999,-55.1321134
8.9,-55.3673696762895,8.9,-55.1321134
8.92,-55.324460143371496,8.92,-54.912962019999995
8.94,-55.28165585424129,8.94,-54.9755767
