ts,u_predict,t_,V
1.42,-44.26955962706054,1.42,-44.080644850000006
1.44,-44.16331525419435,1.44,-43.98672283
1.46,-44.05801470808303,1.46,-44.01803017
1.48,-43.95363884990616,1.48,-43.76757145
1.5,-43.85016882865859,1.5,-43.86149347
1.52,-43.74758609161207,1.52,-43.73626411
1.54,-43.64587239287355,1.54,-43.48580539
1.56,-43.545009800157224,1.5599999999999998,-43.45449805
1.58,-43.44498069988288,1.58,-43.26665401
1.6,-43.34576780071223,1.6,-43.20403934
1.62,-43.24735413562818,1.6199999999999999,-43.07880998
1.64,-43.14972306266183,1.6400000000000001,-42.98488796
1.66,-43.05285826436481,1.66,-42.922277
1.68,-42.95674374612151,1.68,-42.671818290000004
1.7,-42.86136383339221,1.7,-42.671818290000004
1.72,-42.76670316797131,1.72,-42.51528159
1.74,-42.67274670334219,1.74,-42.57789627
1.76,-42.579479699205216,1.76,-42.39005223
1.78,-42.48688771524957,1.78,-42.20220819
1.8,-42.39495660423659,1.7999999999999998,-42.170900849999995
1.82,-42.303672504456806,1.82,-42.07697883
1.84,-42.21302183161833,1.8399999999999999,-42.04567149
1.86,-42.12299127022016,1.8599999999999999,-41.638676079999996
1.88,-42.03356776446031,1.88,-41.79521278
1.9,-41.94473850872267,1.9000000000000001,-41.7325981
1.92,-41.85649093768517,1.92,-41.7325981
1.94,-41.76881271608507,1.94,-41.70129076
1.96,-41.68169172817644,1.9599999999999997,-41.66998342
1.98,-41.59511606690918,1.98,-41.35691002
2.0,-41.50907402285653,2.0,-41.35691002
2.02,-41.42355407291539,2.02,-41.106451299999996
2.04,-41.338544868799694,2.04,-41.23168066
2.06,-41.25403522534592,2.06,-41.16906598
2.08,-41.17001410864555,2.08,-41.043840349999996
2.1,-41.08647062401878,2.1,-40.88730365
2.12,-41.00339400384103,2.12,-40.699459610000005
2.14,-40.92077359523109,2.14,-40.66815227
2.16,-40.83859884761082,2.1599999999999997,-40.63684493
2.18,-40.75685930014165,2.18,-40.699459610000005
2.2,-40.675544569045094,2.2,-40.54292291
2.22,-40.59464433481252,2.2199999999999998,-40.417693560000004
2.24,-40.51414832930811,2.24,-40.323771539999996
2.26,-40.43404632277139,2.2600000000000002,-40.22984952
2.28,-40.35432811072287,2.28,-40.292464200000005
2.3,-40.27498350077979,2.3,-40.1359275
2.32,-40.196002299387224,2.3200000000000003,-40.1359275
2.34,-40.11737429847383,2.34,-40.04200547999999
2.36,-40.03908926204077,2.36,-40.1359275
2.38,-39.961136912696226,2.3800000000000003,-39.94808346
2.4,-39.88350691814987,2.4,-40.04200547999999
2.42,-39.80618887768488,2.42,-39.885468780000004
2.44,-39.72917230862827,2.44,-39.760239420000005
2.46,-39.65244663284589,2.46,-39.791546759999996
2.48,-39.57600116329059,2.48,-39.791546759999996
